
2016_03_14_15_34_22_828,$Sound pressure: 51.2500000000 dB,Luminosity: 99.1202316284 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_34_25_464,$Sound pressure: 51.2500000000 dB,Luminosity: 99.1202316284 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_34_28_132,$Sound pressure: 51.2500000000 dB,Luminosity: 98.9247283935 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_34_30_768,$Sound pressure: 51.8750000000 dB,Luminosity: 98.9247283935 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_34_33_420,$Sound pressure: 53.7500000000 dB,Luminosity: 99.3157348632 ,Dust: 0.0322580623 mg/m,
2016_03_14_15_34_36_072,$Sound pressure: 52.5000000000 dB,Luminosity: 99.5112380981 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_34_38_724,$Sound pressure: 50.6250000000 dB,Luminosity: 99.2179870605 ,Dust: 0.0283870964 mg/m,
2016_03_14_15_34_41_361,$Sound pressure: 50.6250000000 dB,Luminosity: 90.8113403320 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_34_44_028,$Sound pressure: 50.6250000000 dB,Luminosity: 89.2473144531 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_34_46_665,$Sound pressure: 51.2500000000 dB,Luminosity: 86.9012680053 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_34_49_332,$Sound pressure: 53.7500000000 dB,Luminosity: 99.3157348632 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_34_51_969,$Sound pressure: 52.5000000000 dB,Luminosity: 99.2179870605 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_34_54_621,$Sound pressure: 55.5263175964 dB,Luminosity: 96.3831863403 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_34_57_273,$Sound pressure: 51.8750000000 dB,Luminosity: 94.1348953247 ,Dust: 0.0290322570 mg/m,
2016_03_14_15_34_59_925,$Sound pressure: 53.7500000000 dB,Luminosity: 95.9921798706 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_35_02_561,$Sound pressure: 52.5000000000 dB,Luminosity: 92.8641281127 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_35_05_229,$Sound pressure: 53.1250000000 dB,Luminosity: 98.4359741210 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_35_07_865,$Sound pressure: 55.7894744873 dB,Luminosity: 95.0146636962 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_35_10_533,$Sound pressure: 53.7500000000 dB,Luminosity: 95.0146636962 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_35_13_185,$Sound pressure: 51.2500000000 dB,Luminosity: 93.8416442871 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_35_15_821,$Sound pressure: 55.0000000000 dB,Luminosity: 95.3079147338 ,Dust: 0.0283870964 mg/m,
2016_03_14_15_35_18_473,$Sound pressure: 52.5000000000 dB,Luminosity: 97.8494644165 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_35_21_125,$Sound pressure: 55.0000000000 dB,Luminosity: 98.4359741210 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_35_23_777,$Sound pressure: 53.1250000000 dB,Luminosity: 92.2776184082 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_35_26_429,$Sound pressure: 53.7500000000 dB,Luminosity: 98.0449676513 ,Dust: 0.0354838705 mg/m,
2016_03_14_15_35_29_065,$Sound pressure: 53.7500000000 dB,Luminosity: 98.6314773559 ,Dust: 0.0290322570 mg/m,
2016_03_14_15_35_31_733,$Sound pressure: 51.8750000000 dB,Luminosity: 99.3157348632 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_35_34_385,$Sound pressure: 51.8750000000 dB,Luminosity: 99.6089935302 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_35_37_021,$Sound pressure: 52.5000000000 dB,Luminosity: 88.6608047485 ,Dust: 0.0283870964 mg/m,
2016_03_14_15_35_39_673,$Sound pressure: 55.2631568908 dB,Luminosity: 91.8866043090 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_35_42_325,$Sound pressure: 55.2631568908 dB,Luminosity: 86.8035202026 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_35_44_978,$Sound pressure: 55.5263175964 dB,Luminosity: 89.6383209228 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_35_47_630,$Sound pressure: 58.4210510253 dB,Luminosity: 92.3753662109 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_35_50_266,$Sound pressure: 53.7500000000 dB,Luminosity: 96.4809417724 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_35_52_934,$Sound pressure: 55.5263175964 dB,Luminosity: 97.2629547119 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_35_55_586,$Sound pressure: 61.5384597778 dB,Luminosity: 97.1651992797 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_35_58_222,$Sound pressure: 53.7500000000 dB,Luminosity: 96.9696960449 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_36_00_874,$Sound pressure: 57.6315803527 dB,Luminosity: 99.8044967651 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_36_03_526,$Sound pressure: 61.2820510864 dB,Luminosity: 97.6539611816 ,Dust: 0.1103225827 mg/m,
2016_03_14_15_36_06_178,$Sound pressure: 56.3157882690 dB,Luminosity: 92.9618759155 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_36_08_814,$Sound pressure: 51.2500000000 dB,Luminosity: 93.1573791503 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_36_11_466,$Sound pressure: 52.5000000000 dB,Luminosity: 94.2326507568 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_36_14_134,$Sound pressure: 53.1250000000 dB,Luminosity: 96.4809417724 ,Dust: 0.0283870964 mg/m,
2016_03_14_15_36_16_786,$Sound pressure: 52.5000000000 dB,Luminosity: 98.2404708862 ,Dust: 0.0322580623 mg/m,
2016_03_14_15_36_19_422,$Sound pressure: 52.5000000000 dB,Luminosity: 98.2404708862 ,Dust: 0.0329032278 mg/m,
2016_03_14_15_36_22_074,$Sound pressure: 51.8750000000 dB,Luminosity: 98.0449676513 ,Dust: 0.0354838705 mg/m,
2016_03_14_15_36_24_726,$Sound pressure: 54.3750000000 dB,Luminosity: 98.0449676513 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_36_27_378,$Sound pressure: 55.7894744873 dB,Luminosity: 97.9472122192 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_36_30_030,$Sound pressure: 51.2500000000 dB,Luminosity: 98.0449676513 ,Dust: 0.0290322570 mg/m,
2016_03_14_15_36_32_667,$Sound pressure: 51.2500000000 dB,Luminosity: 97.9472122192 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_36_35_334,$Sound pressure: 51.2500000000 dB,Luminosity: 97.9472122192 ,Dust: 0.0296774177 mg/m,
