1457966185.000000, 1457966185.000000, 1457966185.000000
32.000000, 32.000000, 32.000000
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-10
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-62,-3,-11
-63,-3,-11
-63,-3,-11
-63,-2,-10
-63,-3,-11
-63,-3,-11
-62,-3,-11
-63,-2,-11
-63,-3,-11
-63,-3,-11
-62,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-10
-63,-3,-10
-63,-2,-11
-62,-3,-11
-63,-3,-10
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-10
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-62,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-62,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-10
-63,-3,-11
-63,-3,-10
-63,-3,-11
-63,-3,-10
-63,-3,-10
-63,-3,-10
-63,-3,-10
-63,-3,-11
-63,-3,-10
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-10
-63,-3,-11
-63,-3,-10
-63,-3,-10
-63,-3,-11
-63,-3,-11
-62,-3,-10
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-11
-63,-3,-10
-63,-3,-12
-63,-3,-11
-62,-3,-9
-63,-3,-12
-63,-3,-12
-63,-2,-10
-61,-1,-8
-79,-3,-11
-72,-4,-11
-60,-6,-8
-57,-7,-11
-55,-9,-10
-63,-8,-17
-61,-11,-22
-65,-11,-27
-53,-10,-28
-60,-7,-30
-75,-8,-36
-56,-7,-23
-54,-5,-10
-59,-3,4
-62,-9,4
-62,-9,3
-61,-11,3
-64,-12,8
-54,-19,7
-50,-29,21
-51,-28,38
-51,-22,41
-61,-25,11
-55,-18,11
-53,-15,12
-58,-2,26
-57,-4,24
-58,-3,22
-61,0,26
-57,0,34
-55,-5,39
-63,-10,29
-61,-18,19
-58,-21,22
-60,-26,19
-52,-31,19
-34,-33,20
-34,-35,19
-34,-35,22
-35,-30,31
-42,-26,33
-56,-21,35
-46,-20,44
-41,-14,54
-43,-15,49
-40,-12,51
-39,-18,49
-40,-18,45
-38,-17,45
-35,-17,46
-32,-17,48
-38,-16,47
-39,-16,46
-34,-17,46
-38,-16,43
-41,-14,43
-40,-14,45
-37,-18,47
-38,-15,49
-38,-14,48
-35,-14,48
-41,-14,50
-39,-15,50
-38,-15,49
-40,-14,48
-37,-15,48
-35,-13,47
-38,-13,47
-40,-11,46
-39,-13,50
-34,-14,51
-32,-16,50
-33,-17,49
-37,-17,48
-36,-17,48
-37,-14,51
-40,-13,49
-38,-12,48
-42,-11,47
-50,-9,37
-39,-12,38
-28,-18,51
-43,-24,50
-32,-22,52
-25,-24,37
-15,-24,34
-11,-7,56
-14,-5,66
-8,1,66
-20,7,65
-28,9,65
-29,9,58
-50,8,67
-35,3,56
-35,-2,51
-37,-3,55
-38,-3,55
-31,-4,51
-32,-2,52
-35,-1,52
-34,-1,52
-33,-2,52
-34,-2,53
-34,-2,52
-33,-2,52
-34,-2,52
-36,-2,52
-34,-2,52
-35,-2,52
-33,-3,52
-31,-3,52
-36,-2,52
-35,-2,52
-31,-2,53
-34,-1,54
-32,-2,53
-33,-2,54
-33,-2,54
-27,-2,55
-28,-1,55
-26,-1,57
-27,-2,56
-28,-2,56
-30,-3,55
-29,-3,55
-29,-3,55
-30,-2,56
-28,-2,56
-28,-2,55
-31,-2,55
-29,-2,56
-27,-3,56
-30,-4,56
-27,-4,57
-17,-5,56
-14,-4,55
-10,-1,59
-8,1,64
-10,2,63
-3,1,63
-2,1,63
2,0,62
0,1,62
1,2,64
-1,2,63
-7,3,63
-7,4,64
-5,4,63
-5,3,63
-4,2,63
-5,2,62
-4,1,62
-6,2,63
-7,2,63
-7,2,62
-7,3,62
-7,3,62
-6,3,62
-8,3,62
-7,3,62
-7,3,62
-8,2,62
-8,2,63
-8,1,62
-6,2,63
-9,3,62
-10,3,61
-8,3,62
-8,2,62
-9,2,62
-9,2,62
-8,2,62
-9,2,61
-9,2,62
-9,2,62
-9,2,62
-9,2,62
-10,2,61
-11,2,62
-9,3,62
-10,3,62
-11,3,62
-9,3,61
-8,3,62
-10,2,62
-10,2,62
-9,3,62
-10,3,62
-9,2,62
-10,2,62
-11,3,62
-10,3,61
-9,2,61
-11,2,62
-11,2,62
-10,2,61
-10,3,62
-11,3,61
-8,3,62
-8,3,62
-12,2,61
-10,2,62
-8,2,62
-11,2,62
-11,3,62
-10,3,62
-12,3,62
-10,2,61
-10,2,62
-11,3,62
-11,3,61
-9,4,64
-11,5,65
-16,5,63
-5,5,65
-3,1,66
-6,-1,70
-7,0,73
-5,-7,50
-9,-7,49
-5,-4,55
-14,-3,56
-19,-1,57
-22,-1,62
-24,-3,63
-24,-4,58
-20,-4,64
-15,-6,58
-16,-5,55
-16,-2,63
-15,-2,61
-13,-2,58
-16,-1,59
-17,0,61
-23,-1,65
-21,-3,56
-18,-2,57
-21,-2,56
-23,-1,59
-25,-1,59
-26,0,58
-26,-1,57
-25,-1,56
-27,-1,57
-27,-1,58
-24,-1,57
-25,-1,57
-27,-1,57
-25,-1,57
-25,-1,57
-27,-1,57
-26,-1,57
-25,-1,57
-27,-1,57
-26,-1,56
-26,-1,57
-27,-1,56
-26,-1,56
-26,-1,57
-27,-1,56
-27,-1,56
-26,-1,57
-27,-1,57
-27,-1,57
-26,-1,57
-26,-1,57
-27,-1,56
-26,-1,57
-26,-1,57
-27,-1,57
-26,-1,56
-27,-1,57
-26,-1,57
-27,-1,57
-27,-1,57
-26,-1,57
-27,-1,57
-26,-1,56
-26,-1,57
-26,-1,56
-27,-1,57
-27,-1,57
-27,-1,57
-27,-1,56
-27,-1,57
-26,-1,57
-27,-1,56
-27,-1,56
-26,-1,57
-26,-1,57
-27,-1,56
-27,-1,57
-27,-1,57
-27,-1,57
-26,-1,57
-27,-1,57
-27,-1,56
-26,-1,57
-27,-1,57
-27,-1,56
-26,-1,57
-26,-1,57
-27,-1,57
-27,-1,56
-26,-1,57
-26,-1,57
-26,-1,57
-26,-1,57
-27,-1,57
-27,-1,57
-26,-1,56
-27,-1,57
-26,-1,56
-27,-1,56
-26,-1,57
-26,-1,56
-27,-1,57
-26,-1,57
-26,-1,57
-26,-1,56
-27,-1,56
-27,-1,57
-26,-1,56
-27,-1,57
-27,-1,57
-27,-1,57
-26,-1,56
-27,-1,56
-27,-1,56
-26,-1,57
-27,-1,56
-27,-1,56
-27,-1,57
-27,-1,56
-27,-1,56
-26,-1,57
-27,-1,56
-27,-1,56
-28,-1,56
-27,-1,57
-27,-1,56
-25,0,57
-26,-1,58
-21,0,60
-21,-1,59
-18,-2,58
-14,-2,59
-26,-1,64
-28,-3,55
-34,-7,42
-42,-3,50
-28,0,73
-30,-7,46
-23,-5,52
-17,-2,59
-27,-2,54
-21,0,58
-22,11,69
-32,-9,60
-25,0,47
-30,-1,56
-34,3,55
-30,1,50
-38,0,53
-38,-1,49
