
2016_04_08_12_52_38_525,$Sound pressure: 61.0256423950 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_52_41_177,$Sound pressure: 60.8974342346 dB,Luminosity: 100.0000000000 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_52_43_829,$Sound pressure: 60.8974342346 dB,Luminosity: 99.8044967651 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_52_46_481,$Sound pressure: 60.5128211975 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_52_49_133,$Sound pressure: 61.5384597778 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_52_51_785,$Sound pressure: 61.7948722839 dB,Luminosity: 100.0000000000 ,Dust: 0.0406451606 mg/m,
2016_04_08_12_52_54_437,$Sound pressure: 61.7948722839 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_52_57_089,$Sound pressure: 58.6842117309 dB,Luminosity: 100.0000000000 ,Dust: 0.0367741942 mg/m,
2016_04_08_12_52_59_725,$Sound pressure: 57.8947372436 dB,Luminosity: 100.0000000000 ,Dust: 0.0690322589 mg/m,
2016_04_08_12_53_02_377,$Sound pressure: 59.7368431091 dB,Luminosity: 100.0000000000 ,Dust: 0.0458064508 mg/m,
2016_04_08_12_53_05_045,$Sound pressure: 59.4736862182 dB,Luminosity: 100.0000000000 ,Dust: 0.0535483884 mg/m,
2016_04_08_12_53_07_681,$Sound pressure: 62.3076934814 dB,Luminosity: 100.0000000000 ,Dust: 0.1664515972 mg/m,
2016_04_08_12_53_10_333,$Sound pressure: 60.1282043457 dB,Luminosity: 100.0000000000 ,Dust: 0.0935483837 mg/m,
2016_04_08_12_53_12_985,$Sound pressure: 60.1282043457 dB,Luminosity: 100.0000000000 ,Dust: 0.0819354820 mg/m,
2016_04_08_12_53_15_637,$Sound pressure: 60.0000000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0412903213 mg/m,
2016_04_08_12_53_18_289,$Sound pressure: 65.1190490722 dB,Luminosity: 99.9022445678 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_53_20_926,$Sound pressure: 59.2105255126 dB,Luminosity: 99.9022445678 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_53_23_578,$Sound pressure: 60.5128211975 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_53_26_245,$Sound pressure: 62.5641021728 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_53_28_882,$Sound pressure: 60.0000000000 dB,Luminosity: 100.0000000000 ,Dust: 0.0632258033 mg/m,
2016_04_08_12_53_31_534,$Sound pressure: 60.2564086914 dB,Luminosity: 100.0000000000 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_53_34_186,$Sound pressure: 60.3846168518 dB,Luminosity: 100.0000000000 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_53_36_838,$Sound pressure: 60.2564086914 dB,Luminosity: 100.0000000000 ,Dust: 0.0412903213 mg/m,
2016_04_08_12_53_39_490,$Sound pressure: 62.4358978271 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_53_42_126,$Sound pressure: 61.6666679382 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_53_44_778,$Sound pressure: 60.2564086914 dB,Luminosity: 99.9022445678 ,Dust: 0.0367741942 mg/m,
2016_04_08_12_53_47_430,$Sound pressure: 62.8205108642 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_53_50_098,$Sound pressure: 62.8205108642 dB,Luminosity: 100.0000000000 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_53_52_734,$Sound pressure: 60.1282043457 dB,Luminosity: 99.9022445678 ,Dust: 0.0606451606 mg/m,
2016_04_08_12_53_55_386,$Sound pressure: 61.1538467407 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_53_58_241,$Sound pressure: 61.1538467407 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_54_00_675,$Sound pressure: 60.6410255432 dB,Luminosity: 100.0000000000 ,Dust: 0.0445161294 mg/m,
2016_04_08_12_54_03_327,$Sound pressure: 62.0512809753 dB,Luminosity: 100.0000000000 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_54_05_979,$Sound pressure: 60.8974342346 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_54_08_646,$Sound pressure: 61.5384597778 dB,Luminosity: 99.9022445678 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_54_11_283,$Sound pressure: 60.0000000000 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_54_13_935,$Sound pressure: 60.2564086914 dB,Luminosity: 100.0000000000 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_54_16_587,$Sound pressure: 61.0256423950 dB,Luminosity: 100.0000000000 ,Dust: 0.0406451606 mg/m,
2016_04_08_12_54_19_239,$Sound pressure: 61.5384597778 dB,Luminosity: 100.0000000000 ,Dust: 0.0412903213 mg/m,
2016_04_08_12_54_21_875,$Sound pressure: 60.3846168518 dB,Luminosity: 100.0000000000 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_54_24_543,$Sound pressure: 61.6666679382 dB,Luminosity: 100.0000000000 ,Dust: 0.0367741942 mg/m,
2016_04_08_12_54_27_179,$Sound pressure: 60.1282043457 dB,Luminosity: 100.0000000000 ,Dust: 0.0432258081 mg/m,
2016_04_08_12_54_29_847,$Sound pressure: 60.0000000000 dB,Luminosity: 100.0000000000 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_54_32_483,$Sound pressure: 58.6842117309 dB,Luminosity: 99.9022445678 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_54_35_135,$Sound pressure: 60.3846168518 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_54_37_787,$Sound pressure: 64.1025619506 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_54_40_439,$Sound pressure: 60.8974342346 dB,Luminosity: 100.0000000000 ,Dust: 0.0574193525 mg/m,
2016_04_08_12_54_43_076,$Sound pressure: 60.3846168518 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_54_45_743,$Sound pressure: 61.0256423950 dB,Luminosity: 100.0000000000 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_54_48_380,$Sound pressure: 60.6410255432 dB,Luminosity: 100.0000000000 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_54_51_047,$Sound pressure: 58.6842117309 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_54_53_684,$Sound pressure: 61.0256423950 dB,Luminosity: 100.0000000000 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_54_56_336,$Sound pressure: 61.1538467407 dB,Luminosity: 100.0000000000 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_54_58_988,$Sound pressure: 63.2051277160 dB,Luminosity: 99.8044967651 ,Dust: 0.0367741942 mg/m,
2016_04_08_12_55_01_640,$Sound pressure: 63.0769233703 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_55_04_276,$Sound pressure: 60.5128211975 dB,Luminosity: 100.0000000000 ,Dust: 0.0406451606 mg/m,
2016_04_08_12_55_06_944,$Sound pressure: 63.4615402221 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_55_09_596,$Sound pressure: 60.8974342346 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_55_12_248,$Sound pressure: 61.0256423950 dB,Luminosity: 99.9022445678 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_55_14_884,$Sound pressure: 60.1282043457 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_55_17_536,$Sound pressure: 60.7692298889 dB,Luminosity: 99.9022445678 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_55_20_188,$Sound pressure: 61.2820510864 dB,Luminosity: 100.0000000000 ,Dust: 0.0470967721 mg/m,
2016_04_08_12_55_22_840,$Sound pressure: 61.6666679382 dB,Luminosity: 99.9022445678 ,Dust: 0.0412903213 mg/m,
2016_04_08_12_55_25_476,$Sound pressure: 61.5384597778 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_55_28_144,$Sound pressure: 60.0000000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0561290311 mg/m,
2016_04_08_12_55_30_796,$Sound pressure: 61.5384597778 dB,Luminosity: 100.0000000000 ,Dust: 0.0438709688 mg/m,
2016_04_08_12_55_33_432,$Sound pressure: 61.0256423950 dB,Luminosity: 100.0000000000 ,Dust: 0.0490322589 mg/m,
2016_04_08_12_55_36_084,$Sound pressure: 60.7692298889 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_55_38_736,$Sound pressure: 61.1538467407 dB,Luminosity: 99.9022445678 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_55_41_388,$Sound pressure: 60.8974342346 dB,Luminosity: 100.0000000000 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_55_44_040,$Sound pressure: 59.2105255126 dB,Luminosity: 100.0000000000 ,Dust: 0.0451612901 mg/m,
2016_04_08_12_55_46_677,$Sound pressure: 58.9473686218 dB,Luminosity: 100.0000000000 ,Dust: 0.0367741942 mg/m,
2016_04_08_12_55_49_344,$Sound pressure: 58.9473686218 dB,Luminosity: 99.9022445678 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_55_51_997,$Sound pressure: 60.5128211975 dB,Luminosity: 100.0000000000 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_55_54_633,$Sound pressure: 60.6410255432 dB,Luminosity: 100.0000000000 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_55_57_285,$Sound pressure: 61.9230766296 dB,Luminosity: 100.0000000000 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_55_59_937,$Sound pressure: 61.7948722839 dB,Luminosity: 100.0000000000 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_56_02_589,$Sound pressure: 60.1282043457 dB,Luminosity: 100.0000000000 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_56_05_241,$Sound pressure: 60.5128211975 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_56_07_877,$Sound pressure: 59.4736862182 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_56_10_545,$Sound pressure: 62.4358978271 dB,Luminosity: 99.8044967651 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_56_13_197,$Sound pressure: 61.1538467407 dB,Luminosity: 100.0000000000 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_56_15_833,$Sound pressure: 61.4102554321 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_56_18_485,$Sound pressure: 61.1538467407 dB,Luminosity: 100.0000000000 ,Dust: 0.1683870792 mg/m,
2016_04_08_12_56_21_137,$Sound pressure: 60.2564086914 dB,Luminosity: 99.7067413330 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_56_23_789,$Sound pressure: 60.5128211975 dB,Luminosity: 99.9022445678 ,Dust: 0.0490322589 mg/m,
2016_04_08_12_56_26_441,$Sound pressure: 62.3076934814 dB,Luminosity: 99.3157348632 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_56_29_093,$Sound pressure: 61.0256423950 dB,Luminosity: 99.5112380981 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_56_31_745,$Sound pressure: 63.0769233703 dB,Luminosity: 99.5112380981 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_56_34_382,$Sound pressure: 62.4358978271 dB,Luminosity: 99.5112380981 ,Dust: 0.3599999904 mg/m,
2016_04_08_12_56_37_034,$Sound pressure: 66.1904754638 dB,Luminosity: 99.5112380981 ,Dust: 0.2141935586 mg/m,
2016_04_08_12_56_39_686,$Sound pressure: 64.3589782714 dB,Luminosity: 97.8494644165 ,Dust: 0.0651612854 mg/m,
2016_04_08_12_56_42_338,$Sound pressure: 65.2380981445 dB,Luminosity: 99.4134902954 ,Dust: 0.0896774196 mg/m,
2016_04_08_12_56_44_974,$Sound pressure: 59.7368431091 dB,Luminosity: 99.2179870605 ,Dust: 0.0406451606 mg/m,
