1460119835,88.82,0.070443,33.75,58.6842117309,0.0516129016,0,681388.660436891,247261.759012948,0.00967584051805278
1460119836,88.82,0.070443,33.73,59.7368431091,0.0445161294,0,681388.382755153,247261.810796494,0.00967584051805278
1460119837,88.73,0.062759,33.73,59.7368431091,0.0445161294,0,681388.005902028,247261.750025823,0.0102782274763751
1460119838,88.63,0.069163,33.71,59.7368431091,0.0445161294,0,681387.630320787,247261.596612179,0.0105417717706412
1460119839,88.53,0.069163,33.71,57.8947372436,0.0393548374,0,681387.191549101,247261.460863024,0.0111441587289635
1460119840,88.45,0.069163,33.71,57.8947372436,0.0393548374,0,681386.614318088,247261.323212817,0.0118594932419713
1460119841,88.35,0.067882,33.75,58.9473686218,0.0380645160,0,681385.622217859,247261.142802275,0.0127630736794548
1460119842,88.30,0.074286,33.71,58.9473686218,0.0380645160,0,681385.622217859,247261.142802275,0.0127630736794548
1460119843,88.40,0.066601,33.68,58.9473686218,0.0380645160,0,681385.220953356,247261.026100336,0.0129513196039306
1460119844,88.45,0.067882,33.71,58.1578941345,0.0387096767,0,681384.944289096,247261.003769643,0.0131772147133015
1460119845,88.50,0.064040,33.66,58.1578941345,0.0387096767,0,681384.567435887,247260.942999193,0.0132901622679869
1460119846,88.58,0.061478,33.66,58.1578941345,0.0387096767,0,681384.502719255,247261.071835285,0.0138925492263092
1460119847,88.65,0.062759,33.63,60.7692298889,0.0412903213,0,681384.310858686,247261.291586169,0.0141184443356801
1460119848,88.73,0.064040,33.63,60.7692298889,0.0412903213,0,681384.096367384,247261.325705418,0.0144196378148413
1460119849,88.78,0.062759,33.65,60.0000000000,0.0387096767,0,681384.009783117,247261.213324078,0.0145325853695268
1460119850,88.92,0.061478,33.65,60.0000000000,0.0387096767,0,681384.009783117,247261.213324078,0.0145325853695268
1460119851,89.07,0.061478,33.63,60.0000000000,0.0387096767,0,681383.984863063,247261.194449839,0.0145325853695268
1460119852,89.18,0.061478,33.59,60.7692298889,0.0399999980,0,681383.935531689,247261.119644158,0.0145325853695268
1460119853,89.27,0.064040,33.59,60.7692298889,0.0399999980,0,681383.886454681,247261.02630988,0.0145325853695268
1460119854,89.37,0.064040,33.61,60.7692298889,0.0399999980,0,681383.9496451,247261.008645379,0.0145325853695268
1460119855,89.42,0.062759,33.57,61.2820510864,0.0406451606,0,681384.011818051,247261.06509528,0.0145325853695268
1460119856,89.53,0.062759,33.53,61.2820510864,0.0406451606,0,681384.023387794,247261.139382499,0.0142690410752607
1460119857,89.82,0.060197,33.57,61.0256423950,0.0412903213,0,681383.609782636,247262.838656277,0.0167538872783404
1460119858,90.05,0.061478,33.55,61.0256423950,0.0412903213,0,681383.609782636,247262.838656277,0.0167538872783404
1460119859,90.25,0.062759,33.53,61.0256423950,0.0412903213,0,681383.551294113,247263.430880198,0.0172433266819773
1460119860,90.45,0.062759,33.50,60.5128211975,0.0374193549,0,681383.542645685,247264.060852597,0.0177327660856142
1460119861,90.68,0.062759,33.50,60.5128211975,0.0374193549,0,681383.542645685,247264.060852597,0.0177327660856142
1460119862,90.93,0.062759,33.50,60.5128211975,0.0374193549,0,681383.448430492,247264.504329264,0.0187116448928881
1460119863,91.18,0.062759,33.49,61.0256423950,0.0464516115,0,681383.802783853,247263.452865186,0.0169421332028162
1460119864,91.42,0.064040,33.47,61.0256423950,0.0464516115,0,681383.701192017,247264.433671249,0.0179963103798803
1460119865,91.68,0.062759,33.45,59.2105255126,0.0419354820,0,681383.505893761,247265.820896781,0.019728172885057
1460119866,91.95,0.062759,33.43,59.2105255126,0.0419354820,0,681383.56603174,247266.025575479,0.019728172885057
