1460121810.0000,78.72,-9.35,0.001281,33.25,65.8333358764,0.0509677410,18.533,33.398,1620.1,0,681420.3583,247335.2849,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121811.0000,78.02,-13.74,0.002562,33.25,61.6666679382,0.0470967721,18.485,33.492,1683.2,0,681420.3213,247335.2288,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121812.0000,77.37,-15.26,0.003842,33.27,61.6666679382,0.0470967721,18.485,33.591,1643.8,0,681419.8775,247335.4636,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121813.0000,76.70,2.31,0.001281,33.25,61.6666679382,0.0470967721,18.461,33.655,1588.6,0,681419.9527,247335.4832,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121814.0000,76.08,9.95,0.002562,33.23,73.0000000000,0.0432258081,18.438,33.685,1762.0,6,681419.5272,247336.2186,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121815.0000,75.47,9.20,0.002562,33.27,73.0000000000,0.0432258081,18.390,33.747,1840.9,6,681418.7194,247337.2824,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121816.0000,74.85,6.89,0.002562,33.27,73.0000000000,0.0432258081,18.390,33.812,1754.1,6,681418.6632,247337.7079,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121817.0000,74.23,0.84,0.001281,33.27,63.5897445678,0.0406451606,18.366,33.876,1706.8,6,681418.6632,247337.7079,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121818.0000,73.68,-4.34,0.001281,33.23,63.5897445678,0.0406451606,18.343,33.906,1793.6,6,681418.2523,247338.2953,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121819.0000,73.15,-21.28,0.001281,33.23,63.7179489135,0.0419354820,18.343,33.972,1738.4,6,681418.2575,247338.8328,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121820.0000,72.92,5.63,0.002562,33.21,63.7179489135,0.0419354820,18.343,34.038,1557.0,6,681418.5830,247338.9669,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121821.0000,72.70,17.02,0.002562,33.23,63.7179489135,0.0419354820,18.366,34.073,1785.7,6,681418.7446,247339.1174,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121822.0000,72.47,8.03,0.003842,33.21,62.0512809753,0.0477419328,18.366,34.106,1714.7,6,681418.7012,247339.5245,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121823.0000,72.20,1.84,0.003842,33.21,62.0512809753,0.0477419328,18.390,34.108,1817.2,6,681419.0449,247339.2513,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121824.0000,71.95,-6.69,0.001281,33.21,62.0512809753,0.0477419328,18.366,34.106,1990.6,6,681418.7287,247339.3581,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
1460121825.0000,71.73,3.07,0.002562,33.21,63.9743576049,0.0600000000,18.343,34.136,1557.0,6,681418.7428,247339.2471,,1,1.0,-2.0,1.0,-2.0,-1.0,-1.0,0.0,2.0,-1.0,2.0,1.0,1.0
